,y_value,label,calib_host,CID,IDSURVEY
3313,-28.445,2001az_63,,2001az,63
3314,-28.912,2005M_64,,2005M,64
3315,-28.6455,2006ac_64,,2006ac,64
3316,-28.534,2003kc_63,,2003kc,63
3317,-28.494,2005ms_64,,2005ms,64
3318,-28.628,2007co_64,,2007co,64
3319,-28.569,2002hu_63,,2002hu,63
3320,-28.4405,2005iq_64,,2005iq,64
3321,-28.737,2007O_64,,2007O,64
3322,-28.718,2005na_64,,2005na,64
3323,-28.5965,2006cq_64,,2006cq,64
3324,-28.822,2007cq_64,,2007cq,64
3325,-28.4955,2010dt_66,,2010dt,66
3326,-28.814,1995ac_61,,1995ac,61
3327,-28.5555,1999gp_62,,1999gp,62
3328,-28.762,2007sw_65,,2007sw,65
3329,-28.6755,2009D_65,,2009D,65
3330,-28.561,1999cc_62,,1999cc,62
3331,-28.5845,2008ar_65,,2008ar,65
3332,-28.764,2008050_65,,2008050,65
3333,-28.481,1996C_61,,1996C,61
3334,-28.681,2007kh_65,,2007kh,65
3335,-28.5745,2009ad_65,,2009ad,65
3336,-28.6185,2008051_65,,2008051,65
3337,-28.6495,2007kk_65,,2007kk,65
3338,-28.5,2008fr_65,,2008fr,65
3339,-28.4865,2000cf_62,,2000cf,62
3340,-28.497,2008gb_65,,2008gb,65
3341,-29.019,1998ab_62,,1998ab,62
3342,-28.708,2008Y_65,,2008Y,65
3343,-28.3585,2009bv_65,,2009bv,65
3344,-28.46,2008bz_65,,2008bz,65
3345,-28.6385,2008hj_65,,2008hj,65
3346,-28.4815,2010ag_66,,2010ag,66
3347,-28.7175,2009do_65,,2009do,65
3348,-28.6205,2007is_65,,2007is,65
3349,-28.57,2008cf_65,,2008cf,65
3350,-28.5405,1994T_61,,1994T,61
3351,-28.6495,1996bl_61,,1996bl,61
3352,-28.424,000190_15,,000190,15
3353,-28.555,010026_15,,010026,15
3354,-28.5235,160099_15,,160099,15
3355,-28.5405,180166_15,,180166,15
3356,-28.5895,490008_15,,490008,15
3357,-28.552,340229_15,,340229,15
3358,-28.514,370333_15,,370333,15
3359,-28.5315,000014_15,,000014,15
3360,-28.4365,020027_15,,020027,15
3361,-28.6425,560033_15,,560033,15
3362,-28.558,500038_15,,500038,15
3363,-28.669,350316_15,,350316,15
3364,-28.5345,360156_15,,360156,15
3365,-28.546,090275_15,,090275,15
3366,-28.525,190340_15,,190340,15
3367,-28.534,370066_15,,370066,15
3368,-28.6285,590194_15,,590194,15
3369,-28.588,140181_15,,140181,15
3370,-28.4335,300105_15,,300105,15
3371,-28.5675,490007_15,,490007,15
3372,-28.8345,2992_1,,2992,1
3373,-28.7315,13796_1,,13796,1
3374,-28.57,14024_1,,14024,1
3375,-28.6045,14871_1,,14871,1
3376,-28.5685,17497_1,,17497,1
3377,-28.518,19775_1,,19775,1
3378,-28.595,15171_1,,15171,1
3379,-28.671,17629_1,,17629,1
3380,-28.6635,744_1,,744,1
3381,-28.419,15234_1,,15234,1
3382,-28.5655,18602_1,,18602,1
3383,-28.4555,19543_1,,19543,1
3384,-28.6935,6057_1,,6057,1
3385,-28.597,12950_1,,12950,1
3386,-28.5615,13736_1,,13736,1
3387,-28.664,16021_1,,16021,1
3388,-28.638,6406_1,,6406,1
3389,-28.602,8719_1,,8719,1
3390,-28.6225,15508_1,,15508,1
3391,-28.4855,20625_1,,20625,1
3392,-28.413,1794_1,,1794,1
3393,-28.581,2635_1,,2635,1
3394,-28.6585,17366_1,,17366,1
3395,-28.565,18855_1,,18855,1
3396,-28.513,20084_1,,20084,1
3397,-28.5115,5395_1,,5395,1
3398,-28.704,18612_1,,18612,1
3399,-28.4635,21034_1,,21034,1
3400,-28.733,1241_1,,1241,1
3401,-28.6305,8921_1,,8921,1
3402,-28.4635,12779_1,,12779,1
3403,-28.542,13044_1,,13044,1
3404,-28.675,18697_1,,18697,1
3405,-28.6575,19953_1,,19953,1
3406,-28.59,2561_1,,2561,1
3407,-28.592,3592_1,,3592,1
3408,-28.4425,18650_1,,18650,1
3409,-28.5195,ASASSN-15hg_150,,ASASSN-15hg,150
3410,-28.5895,ASASSN-15mg_150,,ASASSN-15mg,150
3411,-28.3435,ASASSN-15pr_150,,ASASSN-15pr,150
3412,-28.477,ASASSN-15ss_150,,ASASSN-15ss,150
3413,-28.5825,ASASSN-15tz_150,,ASASSN-15tz,150
3414,-28.658,ASASSN-16hr_150,,ASASSN-16hr,150
3415,-28.74,ASASSN-16oz_150,,ASASSN-16oz,150
