X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
3165.015136651146,937.8746431553049,956.5,1,21.859,0.003,429.0,-0.032,0.001,0,19.395,0.001,854.7,-0.013,0.001,0,210.788628919068,54.1574016380654
3909.3371219111395,962.8321743024912,902.6,1,21.935,0.003,412.5,-0.021,0.01,0,19.504,0.001,802.4,0.0069999999999999,0.017,0,210.7795370982804,54.166526189903685
2705.6426630271662,1763.8081315361019,378.4,1,22.695,0.004,243.3,-0.119,0.305,0,21.299,0.004,289.2,-0.1369999999999999,0.346,0,210.81046010588324,54.158659298020865
3389.596460888038,201.65039925997263,229.8,1,24.77,0.012,93.2,-0.0289999999999999,0.005,0,22.261,0.005,209.9,-0.015,0.022,0,210.77123522570204,54.1540529537484
3665.701503224695,788.117190780944,85.7,1,26.794,0.047,23.3,-0.011,0.072,0,27.28,0.143,7.6,0.0,0.035,0,210.77925156120997,54.162171735577765
20.7804934154715,1060.3397192094553,157.6,1,24.598000000000003,0.011,100.8,-0.003,0.057,0,23.273000000000003,0.009,121.0,0.015,0.038,0,210.82972332957084,54.12172451857439
2755.727816443479,1372.785918209345,85.5,1,26.85,0.046,23.6,-0.044,0.076,0,26.923,0.111,9.8,0.163,0.078,0,210.8022899014887,54.15607708728011
2099.2189618815696,179.0831422811262,77.4,1,28.467,0.168,6.5,-0.13,0.111,0,26.04,0.054,20.2,0.284,0.252,0,210.78731179223905,54.138540993826346
2481.141086883877,1583.7124996990349,147.2,1,24.44,0.01,112.2,-0.012,0.019,0,23.733,0.011,95.0,0.006,0.0139999999999999,0,210.80980572661886,54.154540228645786
7.873878178291953,970.2150535922635,88.9,1,26.792,0.044,24.5,0.154,0.033,0,26.165,0.06,18.2,-0.1169999999999999,0.389,0,210.82816932829675,54.120841378945975
3469.358469102837,1480.7485373818847,74.4,1,27.713,0.093,11.7,-0.351,0.139,0,25.962,0.051,21.2,0.424,0.109,0,210.7953307253283,54.165458402127875
2671.7983275802826,42.70508257631797,71.3,1,26.917,0.052,20.8,0.648,0.3339999999999999,0,26.819000000000003,0.099,11.0,-0.595,0.187,0,210.77733908854412,54.14418614951117
958.7244525633565,400.8764011928704,67.6,1,28.484,0.1689999999999999,6.4,-0.369,0.0139999999999999,0,26.063,0.054,20.1,0.48,0.019,0,210.80583767643304,54.12706168046338
3999.2123966393638,227.51048196510143,71.8,1,27.119,0.0579999999999999,18.6,0.2,0.001,0,27.302,0.151,7.2,-0.1969999999999999,0.045,0,210.7638088496634,54.16159230348361
1946.9611370657053,1842.7065199058104,68.1,1,28.011,0.1169999999999999,9.3,-0.5489999999999999,0.045,0,25.43,0.044,24.9,0.631,0.004,0,210.82138261155416,54.15035240997639
1225.713300036616,288.3753180371415,74.0,1,26.633000000000003,0.039,27.9,0.158,0.008,0,27.264,0.134,8.1,-0.22,0.0139999999999999,0,210.8003712232093,54.129228624776886
2804.437894732551,135.1276489876578,67.5,1,27.207,0.061,17.7,0.296,0.0,0,27.492,0.168,6.5,-0.065,0.006,0,210.77746342530918,54.14652261975239
1679.581817881063,1040.8678438399038,72.8,1,27.423,0.075,14.5,-0.178,0.124,0,25.539,0.046,23.7,0.423,0.011,0,210.8093161089403,54.14068762764629
429.9185459247247,153.54276272625512,123.0,1,24.711,0.011,97.3,-0.1009999999999999,0.036,0,24.145,0.0139999999999999,75.0,-0.081,0.036,0,210.80750417044408,54.11895461367516
3116.455840078589,1396.9705333092068,59.5,1,28.519,0.183,5.9,-0.426,0.012,0,26.14,0.0579999999999999,18.7,0.284,0.015,0,210.79819626131132,54.160563887528944
131.1673795200385,54.202905668339845,55.5,1,26.978,0.061,17.9,0.568,0.171,0,27.254,0.173,6.3,-0.626,0.16,0,210.80919617154143,54.114735518741305
3475.056110690886,1226.9846194547872,60.6,1,28.574,0.191,5.7,0.067,0.026,0,26.151,0.059,18.5,0.181,0.05,0,210.79031311204076,54.16346481351688
3746.7157974564752,2035.8535986557642,60.6,1,26.236,0.057,19.1,-0.183,0.034,0,25.594,0.049,22.2,0.254,0.02,0,210.80254295600864,54.173264483702376
2374.444849295078,1210.1941516143067,68.0,1,27.173,0.061,17.7,0.415,0.0,0,26.76,0.093,11.7,-0.493,0.008,0,210.8039356755902,54.15023785632554
1718.966202960847,169.74969822448412,66.8,1,27.429,0.072,15.0,0.247,0.127,0,26.369,0.068,15.9,-0.071,0.075,0,210.7919171326295,54.13400145782215
4058.9059749124995,1423.124448949368,63.5,1,26.987,0.054,20.1,0.3989999999999999,0.085,0,26.844,0.1,10.8,-0.25,0.047,0,210.78663114830945,54.17206660599505
3183.7910276968796,1670.0941482324208,62.2,1,28.388,0.1669999999999999,6.5,-0.461,0.094,0,25.751,0.043,25.3,0.318,0.023,0,210.8026330864145,54.16358321846881
1936.8719069069825,880.6143417479553,61.5,1,27.149,0.057,19.1,0.188,0.003,0,26.992,0.114,9.5,-0.17,0.083,0,210.80302580346444,54.14239110076413
1379.540407431004,2015.2764536613136,72.5,1,25.81,0.0409999999999999,26.4,0.036,0.048,0,23.976,0.016,67.5,-0.0559999999999999,0.013,0,210.83156202423427,54.14512481488687
1461.877896747503,1837.2852362185395,60.8,1,27.295,0.07,15.4,0.123,0.017,0,26.45,0.077,14.1,-0.049,0.66,0,210.8272019094062,54.14463830754881
2332.50128500346,987.3228001648017,58.3,1,27.937,0.1159999999999999,9.3,-0.257,0.122,0,26.137,0.0579999999999999,18.8,0.5,0.073,0,210.8001435475988,54.14792229357142
3047.2961640554113,1187.3004059808147,102.7,1,25.618,0.02,54.4,0.001,0.019,0,23.877,0.012,87.0,0.019,0.019,0,210.7949984962305,54.158033163136565
621.4450596278084,1847.731417505683,98.4,1,25.512,0.022,49.1,-0.059,0.023,0,23.966,0.013,81.3,0.004,0.011,0,210.8374667067778,54.13500357741095
539.9733728054753,1172.2561656531136,101.6,1,25.232,0.016,69.0,-0.01,0.0289999999999999,0,24.121,0.015,74.2,0.025,0.051,0,210.82568687002058,54.12856149542401
831.485698331126,1078.9856736242011,102.0,1,25.332,0.016,66.3,-0.003,0.002,0,24.088,0.0139999999999999,77.4,-0.008,0.002,0,210.8204102600465,54.13115051592426
3047.546660247441,873.6233282399947,100.3,1,25.501,0.018,59.1,-0.003,0.012,0,24.008000000000003,0.013,81.0,-0.005,0.026,0,210.78887199827622,54.1554756375211
3825.212399324995,479.47742863646044,52.4,1,27.257,0.064,16.8,0.032,0.2239999999999999,0,27.667,0.204,5.3,-0.096,0.008,0,210.77108467790802,54.161563298002854
31.848160325186413,55.06479763239427,62.7,1,27.013,0.055,19.7,0.12,0.0069999999999999,0,26.79,0.1,10.9,-0.036,0.016,0,210.81040544707562,54.113615972463414
2978.7702437431785,1075.2955826908085,59.9,1,27.103,0.059,18.5,0.131,0.01,0,26.015,0.064,16.9,0.055,0.089,0,210.79368737705113,54.15630367416466
3241.3487516968858,1721.965902303799,91.1,1,25.935,0.025,44.2,-0.024,0.021,0,23.984,0.0139999999999999,79.6,-0.001,0.011,0,210.8029064669539,54.164689644093585
747.7746782396516,540.0578954957348,47.8,1,27.194000000000003,0.059,18.3,0.185,0.054,0,27.762,0.206,5.3,-0.311,0.242,0,210.81109661399617,54.12577207392874
2208.616329528128,850.0676309314267,94.4,1,25.454,0.018,61.2,0.005,0.0069999999999999,0,24.204,0.015,71.7,-0.002,0.006,0,210.79903369146732,54.145337834863376
1078.323558775829,308.3691443363307,91.0,1,25.746,0.022,49.8,0.023,0.026,0,24.107,0.0139999999999999,76.1,0.006,0.017,0,210.80257781431519,54.12768472150716
3514.5564619612196,1338.5099558546044,92.2,1,25.493,0.018,58.8,0.003,0.032,0,24.216,0.015,70.9,0.0069999999999999,0.002,0,210.79198318954337,54.16484460049023
3360.4095992765733,220.52196862214495,60.7,1,26.648000000000003,0.0409999999999999,26.7,0.094,0.142,0,26.805,0.096,11.3,0.055,0.1009999999999999,0,210.7719872611339,54.153858561273175
1083.324483593894,1076.0008327558228,48.6,1,27.098000000000003,0.059,18.5,0.271,0.021,0,27.686,0.205,5.3,-0.396,0.026,0,210.8173023934858,54.134035806228965
3508.176879086241,1313.2286983379036,89.3,1,25.868,0.024,45.7,0.003,0.004,0,24.091,0.0139999999999999,76.6,0.0069999999999999,0.025,0,210.79157190970992,54.16456274882169
4080.5882567609847,531.8755364909695,86.4,1,25.354,0.02,54.7,-0.046,0.011,0,24.372,0.017,64.2,-0.025,0.022,0,210.76879328456218,54.165069242264245
3686.1432132555515,1742.8087738148788,67.1,1,26.102,0.0289999999999999,37.3,0.012,0.004,0,25.951,0.052,20.8,-0.1669999999999999,0.004,0,210.79764849924632,54.17017600317201
2648.34583618951,778.525568127,56.8,1,27.222,0.062,17.5,0.204,0.005,0,26.565,0.081,13.5,-0.08,0.02,0,210.79209146069658,54.14995135208288
3215.309734300652,95.78787500589121,50.5,1,27.11,0.0559999999999999,19.6,0.052,0.027,0,27.711,0.203,5.4,-0.283,0.015,0,210.77139273693064,54.15109679158809
1930.3348758783536,1122.5276302520724,87.1,1,25.822,0.023,47.8,0.001,0.015,0,24.176,0.015,72.6,0.015,0.016,0,210.80778342553927,54.144292921058636
1351.4047271589025,2019.1371864729012,59.8,1,26.032,0.046,23.6,0.012,0.036,0,24.263,0.02,54.9,0.0139999999999999,0.0289999999999999,0,210.83197400356215,54.14482904963135
3144.7201973397473,339.96247649354166,86.9,1,25.812,0.022,48.8,-0.017,0.002,0,24.206,0.015,71.9,0.034,0.023,0,210.77713442725727,54.15226125476128
3947.905467014058,28.550605933221377,48.4,1,27.248,0.063,17.3,0.1,0.076,0,27.673,0.209,5.2,-0.217,0.005,0,210.76051547767045,54.159338245417636
3439.2865714989603,347.0273888717877,53.3,1,27.144,0.06,18.2,0.109,0.03,0,26.623,0.0819999999999999,13.2,0.071,0.035,0,210.77347124439922,54.15584266750106
2108.736161790269,1170.6269340834888,86.8,1,25.39,0.017,64.3,-0.0409999999999999,0.002,0,24.545,0.019,58.2,-0.01,0.006,0,210.80649176644042,54.14678236748167
3940.3344632212284,328.34706416067877,61.4,1,27.542,0.0819999999999999,13.2,0.02,0.027,0,25.26,0.031,35.6,0.1369999999999999,0.013,0,210.76658447791203,54.16171028507612
2610.307787015796,1096.2235667010139,45.3,1,27.293000000000003,0.067,16.3,0.251,0.0819999999999999,0,27.452,0.175,6.2,0.0139999999999999,0.001,0,210.7987608894325,54.15209805022746
2599.5795617137505,1497.4556046036314,64.7,1,27.184,0.061,17.8,0.001,0.004,0,25.299,0.031,35.2,0.0139999999999999,0.009,0,210.80666177586406,54.15524034397976
2561.581837791935,889.8632399241484,77.2,1,26.102,0.033,32.6,-0.052,0.013,0,24.281,0.016,67.0,0.005,0.022,0,210.7953619277027,54.149834282116565
3637.0874435575697,1532.7182501347013,82.5,1,26.033,0.026,41.4,0.015,0.005,0,24.213,0.015,71.1,0.0139999999999999,0.006,0,210.7941962550471,54.167888277476294
