X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
2606.884981714621,3816.3447572210725,2201.4,1,20.939,0.002,652.0,-0.039,0.003,0,18.733,0.001,2102.3,-0.0409999999999999,0.006,0,188.5669463199876,2.145636174278663
2220.777207884942,588.4421026974924,1805.1,1,20.805,0.002,657.3,0.016,0.059,0,19.106,0.001,1680.1,-0.001,0.052,0,188.61090602585156,2.135200476922646
2159.8536738596786,3219.2228474203694,1468.4,1,21.224,0.002,550.6,-0.053,0.0,0,19.623,0.001,1361.1,-0.02,0.001,0,188.57687959121088,2.148602184792319
2707.3527591359925,3051.3681244450754,1165.7,1,21.847,0.003,418.4,-0.011,0.004,0,20.132,0.001,1087.8,0.004,0.006,0,188.5764437298205,2.140660618426842
3338.7650463053596,806.7277598591891,1015.0,1,22.199,0.003,335.6,-0.01,0.017,0,20.385,0.001,957.4,0.003,0.013,0,188.60269695309526,2.1216726480988535
1714.9642125259572,1652.2893373769048,917.4,1,21.808000000000003,0.003,421.1,-0.0409999999999999,0.018,0,20.711,0.001,814.3,-0.005,0.024,0,188.5994539109578,2.1468925793514027
2914.730973187766,1827.8879465067375,846.6,1,21.511,0.002,489.4,-0.031,0.011,0,21.043000000000003,0.002,689.8,0.015,0.018,0,188.59140954708877,2.132094056297008
1607.6559389590807,1452.0017532334768,814.3,1,21.594,0.002,465.1,-0.0139999999999999,0.036,0,21.095,0.002,667.0,0.017,0.043,0,188.6025812943554,2.1473315859787876
494.25288002841796,2589.3398710232805,725.0,1,22.88,0.005,232.9,-0.022,0.015,0,21.005,0.002,686.0,0.019,0.016,0,188.5930841467614,2.167296309619004
2629.8450780877847,755.6855595142003,735.9,1,22.217,0.003,341.3,-0.019,0.011,0,21.166,0.002,651.4,0.003,0.016,0,188.60676256062874,2.1306694269705666
3017.622628816993,4172.651324996552,512.4,1,22.675,0.005,222.8,-0.051,0.02,0,21.047,0.002,461.2,0.012,0.027,0,188.5603285987916,2.141989235417286
3493.196803532709,2553.44562216357,619.1,1,23.918000000000003,0.008,136.8,-0.061,0.001,0,21.318,0.002,603.7,-0.004,0.006,0,188.57917062045263,2.128030255150553
678.3106633816847,2915.892182601097,615.1,1,22.576,0.004,286.7,-0.024,0.013,0,21.501,0.002,543.8,0.021,0.0139999999999999,0,188.5879415026464,2.1664618769174506
2162.2518628539856,1321.0357575942355,524.1,1,22.579,0.004,245.5,-0.088,0.3229999999999999,0,21.499,0.002,462.2,-0.1009999999999999,0.382,0,188.60163005278955,2.1394742979013612
363.87980091794077,93.45125662405732,591.0,1,22.511,0.004,291.6,-0.036,0.03,0,21.598000000000003,0.002,513.0,0.003,0.031,0,188.62626863382653,2.157034428588572
3723.3756364584797,3923.576668306382,595.0,1,22.243,0.003,343.1,-0.036,0.0,0,21.759,0.002,485.8,0.001,0.0,0,188.56019346183936,2.131595457177155
1772.2574753692707,1927.3113935860827,565.1,1,22.409,0.004,308.4,-0.06,0.015,0,21.77,0.002,472.9,-0.021,0.0139999999999999,0,188.5955914700616,2.1474637093016784
657.8052815368575,148.5722556315754,534.5,1,23.938,0.008,135.5,-0.0279999999999999,0.0289999999999999,0,21.6,0.002,516.5,0.005,0.04,0,188.62413992151474,2.1534670431884746
74.26737840874787,542.7586428764171,508.5,1,23.255,0.005,197.7,-0.04,0.02,0,21.789,0.002,468.1,-0.009,0.025,0,188.6217963550763,2.162963097855867
229.47285237747883,2246.0216552586376,161.0,1,29.19,0.4589999999999999,2.4,-0.031,0.0559999999999999,0,26.646,0.063,17.1,-0.064,0.203,0,188.59883263805327,2.1691026635046087
402.9262341134946,73.4191966989209,438.8,1,23.717,0.0069999999999999,151.9,-0.038,0.0279999999999999,0,22.036,0.003,411.2,-0.001,0.0279999999999999,0,188.6263426870445,2.156429421453427
2100.568467742546,789.7320431841918,380.2,1,23.33,0.006,176.7,-0.08,0.147,0,22.259,0.003,336.1,-0.122,0.177,0,188.6088567074239,2.137732172257645
690.8446506621926,3933.344320208164,396.4,1,22.999,0.005,229.9,-0.066,0.003,0,22.495,0.003,322.5,-0.0139999999999999,0.003,0,188.57460843105866,2.171174318404657
1520.8765757930835,2172.372196653068,349.4,1,23.23,0.006,182.4,-0.092,0.322,0,22.42,0.004,297.5,-0.079,0.364,0,188.59360017460713,2.1519150966509146
382.6421358487209,91.81477795426588,381.6,1,23.787,0.008,144.2,-0.069,0.075,0,22.304,0.003,352.9,-0.02,0.0559999999999999,0,188.62619999797676,2.1567820034426197
3943.8320403263715,1390.3008377387505,373.1,1,25.033,0.016,67.4,0.004,0.01,0,22.262,0.003,366.7,0.004,0.018,0,188.59218267624632,2.1165817353862915
2266.0652395608295,1223.056527991201,328.4,1,24.829,0.0139999999999999,78.9,-0.015,0.006,0,22.283,0.004,296.9,-0.009,0.011,0,188.60241032938092,2.137651444996252
2000.2038567921716,1548.2894466433297,336.2,1,23.068,0.005,200.7,-0.073,0.027,0,22.654,0.004,268.6,-0.083,0.045,0,188.59944266465791,2.14267582084126
1883.5651520265558,1297.616936448677,318.8,1,25.416,0.021,52.5,-0.023,0.015,0,22.497,0.003,314.2,-0.011,0.024,0,188.60327205749383,2.1429949939375867
263.29144282052306,1839.4761809219667,108.4,1,29.147,0.4639999999999999,2.3,-0.185,0.049,0,26.968000000000004,0.0819999999999999,13.2,0.019,0.096,0,188.60397392752444,2.1667134906021253
3654.2721783683482,1171.887893576837,328.5,1,23.77,0.008,143.2,-0.022,0.015,0,22.638,0.004,295.3,0.009,0.027,0,188.59642044383648,2.11930970835896
1924.9975808776196,340.0787183572117,116.6,1,28.953000000000003,0.35,3.1,-0.166,0.035,0,26.809,0.065,16.6,0.051,0.005,0,188.61556440789326,2.1378659412405767
3247.2510723227088,3777.2000884873405,108.9,1,29.36,0.499,2.2,-0.513,0.119,0,27.017,0.081,13.4,0.284,0.004,0,188.56438614414765,2.1371007785853884
570.1467439045155,1756.7041999418218,105.3,1,29.345,0.5429999999999999,2.0,-0.135,0.018,0,26.903,0.076,14.3,0.3979999999999999,0.012,0,188.60358208240217,2.162316686134611
1827.8967241994626,886.061779016318,327.3,1,23.972,0.008,134.7,-0.0139999999999999,0.013,0,22.663,0.004,298.0,0.0069999999999999,0.019,0,188.60890776365125,2.141748338341001
386.3892953313007,61.93545761870287,314.6,1,23.16,0.005,206.8,-0.031,0.033,0,23.021,0.005,236.6,-0.006,0.038,0,188.62657180377383,2.156589956971016
3341.2616544653447,4183.351847266547,99.8,1,29.019,0.478,2.3,-0.877,0.57,0,26.014,0.052,20.8,0.975,0.002,0,188.55863704397365,2.1378215484634073
3254.291718447641,2090.3704684042414,100.4,1,29.213,0.5539999999999999,2.0,-0.214,0.05,0,26.025,0.051,21.2,0.12,0.001,0,188.58635708584518,2.1289254533583675
150.52041738415772,2295.6752516652346,99.2,1,28.949,0.381,2.9,-0.606,0.139,0,27.139,0.098,11.0,0.585,0.008,0,188.59856353368386,2.170369836495777
1471.1469556697232,1289.5250774782317,102.8,1,29.277,0.491,2.2,-0.258,0.02,0,27.035,0.081,13.4,0.456,0.004,0,188.60535547472762,2.1483324483262516
148.94101952290012,983.7829260592275,121.2,1,26.317,0.04,27.2,0.738,0.038,0,27.371,0.119,9.1,-1.01,0.096,0,188.61568500580225,2.164103283363212
470.86550069991904,1725.9066986518876,296.5,1,24.007,0.008,128.0,-0.02,0.005,0,22.807,0.004,266.9,0.002,0.01,0,188.60445997527052,2.1634633105395644
2288.721598575393,235.30907965278686,100.7,1,28.998,0.366,3.0,-0.186,0.001,0,27.032,0.08,13.6,0.052,0.002,0,188.6151867620549,2.132622384224144
3356.6409994594533,3045.2310799869615,104.0,1,29.03,0.392,2.8,-0.291,0.035,0,27.182,0.094,11.5,0.126,0.126,0,188.57341013860957,2.1321671064096104
95.56013346039671,1929.7733299134106,64.7,1,28.896,0.48,2.3,-0.8290000000000001,0.1119999999999999,0,26.748,0.078,13.9,0.7340000000000001,0.045,0,188.60360039170322,2.1693327550072405
3326.6092586741297,1250.6989256197803,106.1,1,26.272,0.038,28.7,0.2189999999999999,0.001,0,27.878,0.17,6.4,-0.201,0.02,0,188.59696371303565,2.123958778544901
1098.936435193686,3414.9607680902277,100.2,1,29.02,0.377,2.9,-0.357,0.013,0,26.892,0.073,14.8,0.085,0.017,0,188.5794138542512,2.1633702704431768
474.07079831774564,1646.9144594947302,92.9,1,29.006,0.402,2.7,0.314,0.015,0,26.871,0.074,14.6,-0.049,0.01,0,188.6054750706622,2.1630429639708275
421.4758601050676,2589.314646241715,91.2,1,29.123,0.43,2.5,0.1159999999999999,0.072,0,27.269,0.108,10.1,0.065,0.161,0,188.5934334951589,2.1682449035529068
561.221950050658,3306.9138534813674,90.0,1,28.667,0.2789999999999999,3.9,-0.706,0.05,0,27.034,0.085,12.8,0.597,0.0139999999999999,0,188.5834020361573,2.1698621066846333
223.71552162720963,3049.118873405557,97.8,1,26.463,0.045,24.3,0.162,0.004,0,27.881,0.187,5.8,-0.285,0.151,0,188.5883836240524,2.1730264030925466
2780.516660619657,283.00497162125913,75.6,1,29.159,0.433,2.5,-0.585,0.025,0,27.729,0.152,7.1,0.387,0.3229999999999999,0,188.6122060306246,2.1264399995224563
3128.695380719849,3377.77927056653,261.0,1,24.459,0.011,100.5,-0.04,0.0,0,23.033,0.005,240.7,-0.006,0.001,0,188.57016513857212,2.1367322122175714
913.2372110572511,1104.416490903285,100.2,1,26.348000000000003,0.0409999999999999,26.4,0.35,0.006,0,27.556,0.134,8.1,-0.315,0.026,0,188.61044585648833,2.154718166094516
3487.9395795809187,931.0282926560774,243.4,1,25.867,0.0279999999999999,39.0,-0.044,0.009,0,23.029,0.005,240.0,-0.003,0.017,0,188.6003600843135,2.120323720283226
3807.3794646176775,2234.398866200513,81.1,1,28.756,0.318,3.4,-0.135,0.0139999999999999,0,27.164,0.094,11.6,0.136,0.003,0,188.58182590083396,2.122405650613626
1180.1578850729572,1241.3305344006617,88.9,1,26.467,0.045,24.0,0.275,0.0,0,28.066,0.205,5.3,-0.105,0.03,0,188.60737969816026,2.151894776457908
1696.3623426818556,21.505008864160047,79.3,1,28.247,0.342,3.2,-0.033,0.176,0,26.537,0.067,16.1,0.152,0.049,0,188.62081667774146,2.1393196232041083
