X,Y,RA,DEC,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
3007.8,109.41,53.48527369491468,-36.231019441342475,94.6,1,28.196,0.086,12.6,0.471,0.019,0,28.423,0.1689999999999999,6.4,-0.623,0.033,0
1519.23,2168.46,53.47457933475469,-36.19680204953837,100.6,1,28.555,0.124,8.7,-0.246,0.03,0,27.491,0.081,13.4,0.3979999999999999,0.021,0
2277.24,66.15,53.49392573550298,-36.22363001822903,103.8,1,28.509,0.11,9.9,0.542,0.011,0,27.795,0.096,11.3,-0.395,0.011,0
2006.02,528.47,53.4908262001535,-36.21661804819307,340.4,1,25.573,0.009,120.3,0.013,0.005,0,23.429,0.003,318.2,0.018,0.0139999999999999,0
3692.79,4237.37,53.42325529352087,-36.20145668929189,86.4,1,27.971,0.076,14.2,0.243,0.115,0,28.481,0.185,5.9,-0.152,0.121,0
2244.46,105.12,53.49377414887684,-36.22293340150976,98.9,1,29.898000000000003,0.365,3.0,-1.027,0.174,0,27.389,0.069,15.8,0.915,0.015,0
929.41,2127.12,53.481647055571464,-36.19089408280153,108.2,1,29.196,0.211,5.1,-0.616,0.0559999999999999,0,26.932,0.05,21.7,0.421,0.0289999999999999,0
604.16,70.47,53.51236987838241,-36.20578258447726,78.2,1,29.714,0.3389999999999999,3.2,-1.026,0.026,0,27.922,0.114,9.5,0.846,0.042,0
2150.72,4170.71,53.441196643756754,-36.18564762610317,77.3,1,29.651,0.318,3.4,-1.286,0.043,0,28.115,0.134,8.1,1.162,0.031,0
1861.63,4160.37,53.44453085370251,-36.18266436677918,48.6,1,29.672,0.336,3.2,-0.583,0.053,0,28.328000000000003,0.163,6.6,0.353,0.073,0
1972.02,2167.75,53.469580763635555,-36.2016267595075,94.4,1,30.196,0.51,2.1,-0.191,0.119,0,27.43,0.076,14.2,0.033,0.081,0
1625.85,77.4,53.50098146774899,-36.21659634233257,77.9,1,29.608,0.294,3.7,-0.627,0.061,0,28.378,0.163,6.6,0.9,0.025,0
302.74,2108.06,53.4888273224906,-36.18439469188123,83.6,1,28.295,0.095,11.4,1.24,0.0139999999999999,0,28.368,0.172,6.3,-1.211,0.065,0
1260.65,4155.37,53.45124399961833,-36.17631500499851,50.1,1,29.171,0.212,5.1,-0.27,0.514,0,28.001,0.124,8.8,0.291,0.188,0
1409.65,2159.68,53.47590699611175,-36.19571428036508,105.5,1,27.39,0.047,23.3,0.319,0.069,0,27.728,0.098,11.1,-0.133,0.086,0
217.28,2121.81,53.489590827331796,-36.18336243751251,86.5,1,28.041,0.0819999999999999,13.3,1.056,0.021,0,28.327,0.1689999999999999,6.4,-0.838,0.176,0
839.18,4123.29,53.45632792645676,-36.172117019494934,68.8,1,29.546,0.297,3.7,-0.74,0.015,0,27.938,0.125,8.7,0.903,0.074,0
1545.24,2110.5,53.475055995638826,-36.19759612956757,100.3,1,29.689,0.319,3.4,-0.8059999999999999,0.109,0,26.817,0.044,24.5,0.779,0.016,0
1301.91,4160.25,53.45072334877293,-36.17671042759742,78.6,1,29.563,0.297,3.7,0.025,0.154,0,27.44,0.073,14.8,-0.141,0.0139999999999999,0
