,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
0,3491.035896350201,1110.0826586908977,3060.4,1,20.731,0.0,2187.7,-0.107,0.0,0,19.911,0.001,2139.4,-0.111,0.0,0,54.704276557755136,-35.59251587021503
1,1335.0388221433852,1338.224672374315,1898.7,1,21.794,0.001,1318.7,-0.055,0.023,0,20.886,0.001,1353.9,-0.038,0.0279999999999999,0,54.71191732951925,-35.563052533435894
2,2553.422402055651,85.99862620642736,1342.8,1,22.454,0.001,920.9,-0.065,0.0,0,21.466,0.001,967.6,-0.08,0.001,0,54.72585005870446,-35.58450976107462
3,2915.6936407675903,164.91125289893554,982.7,1,22.798,0.002,672.0,-0.0579999999999999,0.002,0,21.775,0.002,716.5,-0.063,0.003,0,54.72266199809703,-35.588959016018954
4,3300.0270239002666,82.66459944840628,652.8,1,22.92,0.002,515.1,0.005,0.004,0,21.898000000000003,0.003,399.7,0.008,0.01,0,54.72197622290176,-35.594389277449665
5,3595.306090233918,287.6862657402472,542.0,1,22.877,0.003,418.0,-0.096,0.006,0,22.174,0.003,344.6,-0.093,0.008,0,54.71709083786379,-35.59741359897104
6,3787.612968453207,137.56830783416663,774.5,1,23.002,0.002,539.3,0.015,0.006,0,22.046,0.002,555.8,0.021,0.0069999999999999,0,54.7185182137359,-35.60059698283317
7,3179.569668759172,50.343746575177946,592.6,1,23.044,0.002,513.8,0.001,0.003,0,21.995,0.004,273.8,-0.008,0.005,0,54.72313522287969,-35.59293591066396
8,3550.143499998779,421.0454552004157,363.0,1,23.26,0.004,258.7,0.018,0.002,0,22.311,0.004,254.2,0.027,0.006,0,54.71516148146663,-35.59624615322987
9,2892.9672311558893,455.5500909306799,667.5,1,23.271,0.002,466.9,-0.032,0.003,0,22.339,0.002,476.8,-0.045,0.008,0,54.71805923291223,-35.58741511118797
10,3539.5119136142325,1510.271695734056,834.0,1,23.326,0.002,584.2,-0.0819999999999999,0.024,0,22.426,0.002,595.0,-0.1,0.03,0,54.69751910066124,-35.591442946788625
11,3585.435403963936,491.23550023292375,392.5,1,23.441,0.004,273.0,-0.004,0.011,0,22.45,0.004,281.7,-0.04,0.0139999999999999,0,54.71383518167971,-35.59641207694187
12,3207.4303906306704,314.71307719103595,367.6,1,23.372,0.004,272.6,0.035,0.0139999999999999,0,22.551,0.004,246.3,0.066,0.034,0,54.71869286854797,-35.592172855477486
13,3441.7658635330827,164.93545375521663,365.6,1,23.423,0.004,283.6,0.025,0.002,0,22.719,0.005,230.3,0.084,0.004,0,54.7198935208825,-35.595910101673574
14,3642.674126828034,279.4666717259183,371.6,1,23.522,0.004,277.3,-0.022,0.01,0,22.736,0.004,246.8,-0.034,0.0139999999999999,0,54.716975114971476,-35.59807465624202
15,3071.780741849972,445.4315529774312,375.5,1,23.67,0.004,275.3,-0.019,0.003,0,22.844,0.004,254.9,-0.061,0.006,0,54.71728269833244,-35.58982111296554
16,3299.6477657023247,325.8537760070189,199.1,1,23.784,0.008,137.5,0.093,0.002,0,22.778,0.008,143.1,0.054,0.003,0,54.71802656838592,-35.59334367362257
17,3727.9430194992233,93.01798163424512,337.1,1,23.969,0.004,262.1,-0.0279999999999999,0.023,0,22.929,0.005,209.9,-0.031,0.027,0,54.719556204430745,-35.5999991813704
18,3812.089879364099,86.29867625507286,304.4,1,24.124,0.004,249.8,0.005,0.015,0,23.287,0.006,173.7,0.01,0.027,0,54.71922256256723,-35.60113979037343
19,2935.6186646200645,67.3817410312462,237.3,1,24.612,0.005,197.5,-0.05,0.0069999999999999,0,23.778,0.008,131.3,-0.043,0.015,0,54.724141879921184,-35.58963957340426
