X,Y,RA,DEC,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
801.3189302135669,3732.0887803824266,186.8154043186314,9.436424508733053,2442.3,1,19.256,0.001,799.7,-0.118,0.04,0,18.701,0.001,2035.0,-0.068,0.024,0
2499.1340994976813,286.22183927040385,186.7734069725851,9.470045381623905,2140.8,1,19.594,0.001,984.8,-0.1,0.05,0,18.986,0.001,1787.3,-0.017,0.055,0
2225.2425375391244,4192.133643631058,186.82617380520958,9.454287486169692,1268.3,1,19.883,0.001,816.2,-0.102,0.072,0,19.326,0.001,970.3,-0.021,0.081,0
3910.170565279414,2551.8040062511154,186.80892454372602,9.48216567175748,1357.4,1,21.315,0.002,534.2,-0.037,0.03,0,19.77,0.001,1246.8,0.0069999999999999,0.045,0
1089.966389310629,216.86903176707807,186.7680495384165,9.451175951173196,1244.1,1,21.697,0.002,447.5,-0.038,0.046,0,19.942,0.001,1159.6,-0.004,0.0579999999999999,0
3075.7382679258453,585.906464472062,186.779324228936,9.476929679383378,1092.6,1,21.029,0.002,615.8,-0.05,0.046,0,20.485,0.001,901.2,-0.005,0.054,0
2585.709557992197,555.4192575104,186.77737354092105,9.470387645764923,1009.9,1,21.167,0.002,580.5,-0.0409999999999999,0.038,0,20.689,0.001,825.3,-0.011,0.044,0
380.51303543600693,3249.1021105527616,186.80745800806486,9.432216128374991,492.9,1,22.69,0.004,271.2,-0.0409999999999999,0.039,0,22.026,0.003,411.2,0.0069999999999999,0.032,0
3017.855213297203,4144.363574440828,186.82799758817447,9.465168253902743,168.2,1,29.622,0.504,2.2,-0.324,0.064,0,27.388,0.096,11.3,0.452,0.081,0
3517.8058902410276,1876.3660738589765,186.79842395889165,9.478935965376648,179.9,1,26.613000000000003,0.042,25.8,0.213,0.003,0,27.547,0.1009999999999999,10.7,-0.478,0.033,0
1617.8302172998465,3772.6145972295517,186.81851454650533,9.447356528000414,138.4,1,29.328000000000003,0.387,2.8,-0.701,0.093,0,27.129,0.076,14.3,0.8079999999999999,0.0069999999999999,0
2382.798197646746,2203.7943040675987,186.799369675846,9.462555667281503,69.2,1,28.86,0.418,2.6,-0.3989999999999999,0.123,0,27.063,0.091,12.0,0.469,0.354,0
1702.0660638349611,899.5460064427227,186.77933536099457,9.457359923732875,363.4,1,23.918000000000003,0.0069999999999999,146.2,-0.026,0.053,0,22.505,0.003,332.1,-0.004,0.057,0
1668.1434084622979,2289.2824228517566,186.79830840699765,9.452614107398345,122.0,1,29.241,0.381,2.9,-0.251,0.067,0,27.156,0.075,14.5,0.322,0.012,0
3759.8245564258104,2487.837365644044,186.80757605930924,9.480327043562244,137.8,1,26.373,0.036,30.5,0.305,0.019,0,28.007,0.155,7.0,-0.452,0.089,0
189.6161742210605,260.16961269446716,186.76582960363797,9.43884964468891,323.2,1,23.771,0.0069999999999999,155.5,-0.0289999999999999,0.064,0,22.791,0.004,282.9,0.009,0.063,0
229.3228578932445,3618.9055962195016,186.8120616212036,9.429027823752474,110.0,1,29.077,0.384,2.8,-0.444,0.092,0,26.701,0.061,17.7,0.449,0.031,0
2737.901130652471,4182.122641822798,186.82764014709613,9.461260670180046,106.0,1,29.084,0.372,2.9,-0.547,0.059,0,26.342,0.0579999999999999,18.8,0.354,0.1369999999999999,0
2347.5644002147455,607.3675556053093,186.7773421903899,9.467002436756495,100.2,1,29.298,0.365,3.0,-0.315,0.004,0,27.763,0.121,9.0,0.449,0.001,0
718.7776727964219,3018.351720259097,186.80534822059886,9.437508754984483,109.7,1,29.013,0.316,3.4,-0.098,0.366,0,27.297,0.088,12.3,0.34,0.032,0
15.901829141713815,78.17844675930591,186.76278822665225,9.437058305130545,103.5,1,28.572,0.2689999999999999,4.0,-0.4029999999999999,0.2,0,27.259,0.087,12.4,0.44,0.052,0
1229.4037892471094,1197.933680363793,186.78195403266335,9.450038820821739,288.9,1,24.363000000000003,0.01,113.7,-0.072,0.034,0,22.924,0.004,265.1,-0.04,0.039,0
4170.542112715699,3858.0034120522214,186.8276723747185,9.48166130352613,93.9,1,29.048,0.319,3.4,-0.3779999999999999,0.01,0,27.338,0.087,12.4,0.233,0.009,0
3301.52799045021,4233.188696148214,186.83010451743158,9.468735566060134,84.7,1,29.246,0.4679999999999999,2.3,-0.355,0.087,0,26.534,0.068,15.9,0.413,0.049,0
114.49131812872217,1973.6313128082575,186.78911700741548,9.432548128918148,116.9,1,26.45,0.0409999999999999,26.4,0.6629999999999999,0.001,0,27.239,0.09,12.1,-0.606,0.055,0
1659.1053847062458,4177.255938241746,186.82419856260344,9.446666901759816,94.4,1,25.94,0.034,32.3,0.516,0.002,0,27.592,0.171,6.3,-0.555,0.096,0
4032.4417790730977,3177.714977536549,186.8179004232197,9.481890325174483,89.1,1,29.563,0.489,2.2,-0.366,0.013,0,27.826,0.135,8.1,0.447,0.01,0
282.9636369851062,306.0172459322955,186.76675079271536,9.439972411954303,235.8,1,24.928,0.0139999999999999,76.0,-0.15,0.346,0,23.023000000000003,0.005,223.1,-0.093,0.402,0
194.7504691762523,2910.858138728159,186.80223383742327,9.430744015759847,89.0,1,29.068,0.392,2.8,-0.216,0.057,0,26.911,0.073,15.0,0.296,0.039,0
